time,x,y,z
0.007,0.01,0.06,0.01
0.008,0.01,0.59,-0.00
0.009,0.00,0.99,-0.01
0.011,0.03,1.15,-0.00
0.012,0.00,1.13,-0.01
0.029,0.01,0.96,-0.01
0.031,-0.01,0.68,-0.00
0.032,-0.01,0.31,0.00
0.033,0.01,-0.06,0.01
0.034,0.01,-0.45,-0.00
0.058,0.01,-0.72,-0.00
0.059,-0.00,-0.91,0.00
0.060,-0.01,-0.96,0.01
0.062,-0.01,-0.89,-0.00
0.063,-0.02,-0.65,0.01
0.064,-0.01,-0.34,0.01
0.065,0.01,0.07,0.00
0.079,0.04,0.42,0.00
0.080,0.00,0.65,-0.01
0.082,0.04,0.77,-0.00
0.082,0.02,0.76,0.01
0.109,-0.01,0.66,-0.01
0.110,-0.00,0.46,0.00
0.111,0.01,0.22,0.00
0.113,0.01,-0.09,-0.00
0.114,0.01,-0.34,0.00
0.115,-0.01,-0.52,-0.00
0.117,-0.00,-0.64,0.00
0.118,-0.01,-0.62,0.01
0.135,-0.03,-0.55,-0.01
0.138,0.01,-0.39,0.01
0.139,0.01,-0.14,0.00
0.140,0.01,0.06,-0.00
0.141,0.01,0.28,0.00
0.169,0.01,0.43,-0.01
0.170,0.00,0.50,0.00
0.171,-0.01,0.49,0.00
0.172,-0.01,0.43,-0.00
0.173,-0.00,0.27,-0.01
0.175,0.00,0.10,0.00
0.176,0.00,-0.08,-0.00
0.177,0.00,-0.24,-0.01
0.197,0.03,-0.37,0.02
0.201,0.01,-0.38,0.01
0.202,-0.01,-0.36,0.01
0.204,-0.01,-0.32,0.00
0.205,0.01,-0.19,0.00
0.206,0.01,-0.04,0.00
0.207,0.01,0.10,-0.01
0.237,-0.01,0.23,-0.00
0.241,0.00,0.29,0.00
0.242,0.02,0.29,-0.00
0.243,0.01,0.28,0.01
0.247,-0.01,0.21,-0.00
0.249,-0.01,0.11,0.01
0.251,-0.01,-0.01,0.01
0.252,0.01,-0.12,0.01
0.253,0.00,-0.19,0.00
0.254,-0.00,-0.23,0.01
0.277,-0.00,-0.25,0.00
0.278,-0.01,-0.23,-0.00
0.279,0.02,-0.15,0.01
0.282,-0.01,-0.05,-0.01
0.283,-0.01,0.04,0.00
0.285,-0.00,0.12,0.00
0.290,0.01,0.16,0.00
0.291,-0.00,0.19,0.00
0.293,0.00,0.17,-0.01
0.296,-0.01,0.16,-0.01
0.316,-0.01,0.07,-0.00
0.319,0.00,0.00,0.01
0.320,-0.00,-0.05,-0.01
0.322,0.01,-0.11,0.01
0.323,-0.01,-0.14,-0.01
0.324,-0.01,-0.16,0.00
0.325,0.01,-0.12,0.01
0.344,-0.01,-0.09,0.00
0.348,0.00,-0.04,-0.01
0.349,0.01,0.03,0.00
0.350,0.01,0.06,-0.01
0.351,-0.00,0.12,0.01
0.352,-0.01,0.12,-0.01
0.384,-0.01,0.12,-0.01
0.385,0.00,0.09,-0.00
0.386,0.00,0.05,-0.01
0.387,-0.01,-0.00,-0.01
0.388,0.00,-0.06,0.01
0.389,0.01,-0.09,0.02
0.389,0.01,-0.11,0.02
0.414,-0.01,-0.09,-0.01
0.416,-0.01,-0.08,0.00
0.417,0.01,-0.04,0.01
0.419,0.01,-0.01,-0.01
0.420,0.01,0.03,-0.01
0.421,-0.01,0.06,0.00
0.423,-0.00,0.08,-0.00
0.424,-0.00,0.09,0.01
0.425,-0.01,0.07,-0.01
0.445,0.00,0.05,-0.01
0.448,0.01,0.02,-0.01
0.466,-0.00,-0.01,0.00
0.468,-0.00,-0.04,-0.01
0.469,0.01,-0.07,0.01
0.471,0.01,-0.08,0.00
0.472,-0.01,-0.06,-0.01
0.474,0.00,-0.02,0.00
0.475,-0.01,-0.02,0.00
0.477,-0.00,0.01,-0.01
0.478,0.00,0.03,0.01
0.480,0.01,0.05,-0.01
0.481,0.01,0.05,0.01
0.504,-0.01,0.04,0.00
0.505,-0.00,0.03,0.00
0.508,0.02,0.01,0.00
0.511,0.03,-0.00,-0.00
0.512,-0.01,-0.02,0.00
0.513,0.01,-0.06,-0.01
0.514,0.01,-0.05,0.01
0.515,0.00,-0.03,-0.01
0.549,0.00,-0.03,-0.00
0.552,0.01,0.01,-0.00
0.553,0.00,0.01,0.01
0.554,-0.01,0.02,0.01
0.555,0.00,0.04,0.01
0.556,0.00,0.03,-0.01
0.557,0.01,0.03,-0.01
0.558,-0.01,0.02,-0.00
0.559,-0.01,0.01,0.01
0.559,0.02,0.00,-0.00
0.577,-0.02,-0.01,-0.00
0.578,0.00,-0.03,-0.00
0.579,-0.01,-0.03,0.00
0.580,-0.00,-0.04,-0.00
0.582,0.01,-0.01,0.01
0.618,0.02,0.00,0.01
0.619,-0.00,0.01,0.00
0.620,0.01,0.01,0.00
0.620,0.01,0.03,0.01
0.622,0.00,0.02,0.01
0.623,-0.01,0.02,-0.01
0.624,-0.00,0.00,0.00
0.625,0.00,-0.02,0.00
0.626,0.01,-0.01,-0.01
0.627,-0.00,-0.01,0.01
0.630,0.00,-0.03,-0.01
0.647,0.00,-0.01,-0.01
0.653,0.01,-0.01,0.01
0.656,-0.01,-0.02,0.00
0.657,0.00,0.00,-0.01
0.658,-0.01,-0.00,0.01
0.659,-0.00,0.02,-0.01
0.683,0.02,0.03,-0.01
0.684,0.01,0.00,-0.01
0.685,-0.01,0.01,0.00
0.686,0.02,0.01,0.00
0.687,-0.01,-0.00,-0.01
0.689,-0.00,-0.02,-0.01
0.690,-0.02,0.01,-0.01
0.709,0.02,-0.01,0.01
0.710,-0.00,-0.03,-0.01
0.712,-0.01,0.01,0.00
0.713,0.01,-0.00,-0.00
0.714,0.01,0.01,-0.00
0.715,0.02,0.02,-0.01
0.737,-0.01,0.01,-0.01
0.739,0.00,0.03,-0.00
0.740,-0.00,0.04,0.00
0.741,-0.01,-0.01,0.00
0.742,0.00,0.00,0.00
0.744,-0.01,-0.01,-0.00
0.746,0.01,-0.01,0.01
0.751,0.02,-0.01,-0.00
0.770,0.03,-0.01,0.00
0.781,-0.02,-0.01,0.02
0.783,-0.02,-0.01,0.00
0.785,0.01,0.01,0.01
0.786,-0.02,0.00,-0.00
0.787,-0.01,0.01,0.01
0.788,0.00,0.00,-0.00
0.789,-0.01,0.02,-0.01
0.790,0.01,-0.00,-0.01
0.810,0.01,0.01,-0.01
0.811,-0.01,-0.00,-0.00
0.812,0.01,0.00,0.01
0.812,-0.00,-0.00,0.00
0.813,-0.00,0.00,-0.01
0.818,-0.01,-0.00,0.01
0.826,0.01,-0.01,0.01
0.827,0.01,0.00,-0.01
0.829,-0.00,-0.00,0.01
0.834,0.01,0.02,0.00
0.853,0.01,0.01,0.01
0.856,0.01,0.02,0.01
0.857,-0.01,0.00,-0.01
0.858,-0.01,0.01,0.00
0.859,0.01,-0.00,0.00
0.860,-0.02,0.00,0.00
0.867,0.01,-0.00,0.01
0.886,0.01,-0.01,-0.00
0.888,0.03,-0.01,-0.02
0.894,-0.01,-0.00,-0.00
0.895,0.01,-0.01,-0.01
0.896,0.00,0.01,-0.00
0.897,0.00,-0.00,-0.00
0.898,-0.01,0.03,0.00
0.914,0.00,0.01,0.01
0.915,0.00,-0.01,-0.01
0.916,0.00,-0.00,-0.00
0.918,0.00,0.01,-0.00
0.919,-0.00,-0.01,-0.01
0.942,-0.01,0.00,0.00
0.943,0.00,-0.01,-0.01
0.945,0.02,0.01,-0.00
0.946,0.01,-0.01,-0.01
0.947,0.01,-0.01,-0.01
0.947,0.01,0.01,0.01
0.953,0.02,0.01,0.00
0.955,-0.01,0.00,0.01
0.970,0.00,0.01,0.01
0.971,0.01,0.01,-0.02
0.972,0.00,0.01,0.01
0.973,0.00,0.01,-0.01
0.975,-0.00,-0.01,0.00
0.980,-0.00,-0.01,0.01
0.986,0.01,0.00,-0.00
0.989,0.01,-0.01,-0.02
1.009,0.00,-0.02,-0.00
1.011,-0.02,0.01,-0.00
1.012,-0.00,0.01,-0.00
1.013,-0.00,0.01,-0.01
1.015,-0.00,0.00,-0.01
1.016,0.01,0.00,0.00
1.020,0.01,0.00,0.01
1.036,0.00,-0.00,0.00
1.037,0.01,0.00,0.00
1.039,0.01,0.00,0.01
1.040,-0.01,-0.00,0.00
1.045,0.02,-0.00,-0.00
1.046,-0.00,0.02,-0.01
1.050,0.00,0.01,-0.00
1.076,0.00,0.00,-0.01
1.078,-0.01,-0.01,-0.00
1.080,0.00,0.00,0.00
1.081,0.00,-0.00,0.00
1.082,0.01,-0.01,0.00
1.083,0.00,-0.00,-0.00
1.087,0.02,0.01,-0.01
1.091,0.02,-0.00,-0.01
1.092,-0.02,0.01,0.00
1.105,0.00,-0.00,0.00
1.106,-0.01,0.02,0.01
1.107,0.00,-0.01,0.01
1.108,0.01,-0.02,0.00
1.113,0.00,-0.01,0.00
1.117,-0.01,-0.00,0.01
1.138,-0.02,-0.00,-0.01
1.139,-0.01,-0.01,0.01
1.141,-0.01,0.02,0.01
1.143,0.00,0.01,0.00
1.144,0.00,0.00,0.00
1.145,0.01,-0.00,-0.00
1.148,0.02,0.01,-0.01
1.154,-0.00,-0.01,0.01
1.173,0.01,-0.00,-0.01
1.174,0.00,-0.00,-0.00
1.175,0.01,-0.01,0.00
1.176,0.00,0.01,-0.00
1.179,-0.00,-0.01,-0.02
1.180,0.00,0.01,0.01
1.184,0.01,-0.00,-0.00
1.205,0.01,-0.01,-0.01
1.209,0.01,0.02,0.00
1.210,0.01,-0.00,0.01
1.211,0.01,0.01,-0.00
1.212,0.02,-0.01,-0.01
1.213,-0.01,-0.00,-0.01
1.215,-0.02,0.01,-0.00
1.219,0.01,0.00,0.00
1.237,0.02,-0.01,-0.00
1.238,0.01,0.00,0.01
1.243,0.00,-0.00,-0.00
1.244,-0.01,0.00,-0.01
1.245,0.01,0.00,0.00
1.246,0.01,-0.00,0.00
1.276,-0.00,-0.00,0.00
1.279,-0.02,0.02,0.00
1.281,0.01,0.00,0.01
1.282,-0.00,-0.01,0.00
1.283,0.01,-0.00,0.00
1.285,0.01,0.01,-0.00
1.286,-0.01,-0.01,0.01
1.289,-0.00,-0.01,-0.01
1.290,0.00,0.00,0.00
1.292,-0.00,-0.00,0.01
1.297,0.01,0.00,0.02
1.298,-0.01,0.01,-0.01
1.308,-0.00,0.00,-0.01
1.315,-0.00,0.00,-0.01
1.316,0.02,0.01,0.01
1.318,-0.00,-0.01,0.00
1.334,-0.00,-0.01,0.00
1.336,-0.01,0.01,-0.01
1.339,0.00,-0.01,-0.01
1.341,0.02,-0.01,0.00
1.342,-0.00,0.00,0.00
1.343,0.01,-0.01,0.00
1.358,0.00,-0.00,0.01
1.359,0.01,-0.01,0.00
1.360,0.00,-0.01,0.02
1.361,0.00,0.01,-0.00
1.364,0.01,-0.00,0.00
1.368,0.00,-0.02,-0.01
1.394,0.00,0.00,0.00
1.397,0.02,-0.01,0.02
1.397,-0.01,-0.00,0.00
1.399,0.00,0.00,0.01
1.400,-0.00,-0.00,0.01
1.401,-0.02,0.01,-0.00
1.402,-0.01,-0.01,0.01
1.407,0.02,-0.01,0.01
1.408,-0.00,0.03,0.01
1.426,0.01,-0.01,-0.01
1.428,0.03,-0.01,-0.01
1.429,-0.00,0.01,0.01
1.430,-0.00,-0.01,0.00
1.431,-0.00,-0.01,0.01
1.435,0.01,0.01,0.00
1.439,0.00,0.00,0.00
1.457,0.01,-0.00,-0.01
1.458,0.01,0.01,0.00
1.459,0.00,-0.02,0.01
1.461,-0.01,0.00,-0.00
1.462,0.01,-0.00,0.01
1.467,0.00,-0.00,0.00
1.470,-0.01,0.01,0.01
1.491,-0.01,0.01,0.00
1.492,0.00,0.02,0.00
1.493,0.01,0.00,-0.01
1.494,0.00,-0.01,-0.01
1.496,-0.02,0.03,-0.01
1.499,0.01,0.01,0.00
1.501,0.01,-0.00,-0.00
1.507,-0.00,0.02,-0.00
1.524,-0.01,-0.01,-0.00
1.526,0.00,-0.00,-0.00
1.529,-0.00,0.01,0.01
1.530,0.00,-0.01,0.01
1.531,0.01,-0.01,-0.01
1.532,-0.01,0.00,0.00
1.538,0.01,0.01,-0.00
1.559,0.02,-0.00,-0.00
1.560,-0.01,-0.02,0.01
1.561,0.00,0.01,-0.01
1.562,0.01,-0.01,-0.01
1.564,0.01,0.01,-0.00
1.566,-0.00,-0.01,-0.00
1.569,0.01,-0.01,-0.01
1.572,0.01,-0.00,-0.00
1.598,0.00,-0.00,-0.01
1.601,-0.00,-0.00,0.01
1.602,-0.02,0.01,0.00
1.603,-0.00,-0.01,-0.00
1.603,0.01,-0.01,0.01
1.604,-0.00,-0.01,0.00
1.605,0.00,0.01,0.00
1.608,0.00,-0.01,-0.00
1.624,-0.00,0.01,0.00
1.626,-0.00,0.01,-0.00
1.626,0.01,0.01,-0.01
1.628,-0.01,0.00,0.01
1.629,0.00,0.02,0.01
1.634,-0.03,0.00,0.01
1.639,-0.01,-0.02,-0.01
1.660,0.03,0.00,0.02
1.662,0.00,0.01,-0.00
1.664,-0.01,0.02,0.01
1.665,-0.01,-0.01,-0.00
1.666,0.00,0.01,0.00
1.667,0.00,-0.01,-0.01
1.669,0.01,-0.00,0.00
1.674,-0.00,0.02,-0.01
1.696,0.01,0.01,0.00
1.697,0.01,-0.01,-0.00
1.698,0.01,0.01,0.01
1.699,-0.02,0.00,0.01
1.705,0.00,-0.01,-0.00
1.706,0.00,0.00,-0.01
1.707,-0.01,0.01,0.00
1.710,0.01,-0.02,0.00
1.725,0.00,-0.01,0.01
1.729,0.00,0.00,-0.00
1.730,-0.01,-0.00,0.01
1.731,0.00,-0.01,-0.00
1.733,0.00,0.02,0.00
1.736,0.01,-0.02,-0.01
1.740,-0.01,0.01,-0.00
1.759,0.00,-0.00,-0.00
1.761,-0.00,0.00,-0.00
1.763,-0.00,-0.00,-0.00
1.764,-0.00,0.00,-0.00
1.771,-0.00,-0.01,0.01
1.772,0.01,0.00,0.01
1.773,0.01,0.00,0.01
1.775,-0.00,-0.00,0.01
1.791,0.00,0.00,0.00
1.792,-0.00,0.00,-0.00
1.793,-0.01,0.01,-0.01
1.794,-0.03,-0.01,0.01
1.815,0.01,0.00,0.00
1.817,0.01,0.01,-0.00
1.818,-0.00,-0.00,-0.01
1.819,-0.01,-0.01,-0.00
1.820,-0.01,-0.01,-0.01
1.821,-0.00,0.01,-0.01
1.824,0.02,0.00,0.00
1.839,0.01,-0.01,0.00
1.848,0.00,-0.01,0.00
1.850,0.02,-0.01,-0.01
1.851,-0.01,0.01,-0.01
1.852,0.01,0.01,-0.00
1.857,0.02,0.02,-0.01
1.858,-0.01,0.00,-0.01
1.870,0.04,-0.01,0.00
1.872,-0.00,-0.00,-0.01
1.872,0.00,-0.02,0.01
1.873,0.00,-0.00,0.00
1.891,0.02,0.00,0.00
1.896,-0.02,0.03,-0.00
1.896,-0.00,0.01,-0.02
1.897,0.01,-0.01,0.00
1.898,0.02,-0.01,0.00
1.916,0.00,-0.01,0.00
1.918,0.01,0.01,-0.01
1.919,-0.01,0.01,-0.01
1.920,0.00,-0.01,0.00
1.921,0.01,-0.02,-0.00
1.922,-0.01,0.01,-0.01
1.926,-0.01,-0.00,-0.00
1.942,-0.01,-0.01,-0.01
1.944,0.02,-0.01,-0.00
1.945,0.01,-0.01,-0.01
1.946,-0.01,0.01,-0.00
1.947,-0.00,0.00,-0.00
1.952,-0.01,0.00,-0.01
1.956,0.00,0.02,0.00
1.966,-0.01,-0.02,-0.01
1.967,-0.00,-0.01,-0.01
1.969,-0.00,0.00,0.01
1.974,0.00,0.01,0.00
1.990,-0.00,0.01,0.00
1.993,-0.01,-0.00,0.00
1.994,0.01,-0.00,0.00
1.994,-0.01,-0.01,0.00
2.018,-0.00,-0.02,-0.00
2.020,-0.00,-0.01,0.00
2.021,0.02,0.01,0.00
2.022,0.01,0.01,-0.01
2.023,-0.01,-0.01,0.01
2.024,0.00,-0.01,0.01
2.025,-0.01,-0.01,-0.00
2.040,-0.02,0.02,-0.01
2.042,-0.00,0.01,-0.01
2.045,0.02,0.01,-0.00
2.046,-0.00,-0.01,0.00
2.047,-0.00,-0.01,-0.00
2.069,-0.00,-0.01,0.01
2.071,0.01,0.01,-0.01
2.072,0.01,-0.00,-0.01
2.073,0.00,0.00,0.01
2.074,0.00,-0.01,0.00
2.076,-0.01,-0.00,-0.00
2.077,0.01,0.02,0.00
2.094,-0.01,-0.01,0.00
2.096,0.00,-0.01,-0.01
2.096,0.01,0.01,-0.01
2.097,-0.00,0.01,0.01
2.098,-0.01,-0.01,0.01
2.102,-0.01,0.01,0.00
2.107,0.01,0.01,-0.00
2.112,-0.00,0.00,-0.01
2.123,-0.00,-0.01,0.02
2.126,0.02,0.01,-0.00
2.127,-0.01,-0.01,-0.00
2.143,0.01,-0.01,-0.01
2.147,0.00,0.02,-0.00
2.147,-0.03,-0.01,0.02
2.148,0.00,0.01,-0.00
2.149,0.01,0.00,-0.01
2.151,-0.01,0.02,-0.01
2.171,0.00,0.00,0.00
2.173,-0.01,0.01,0.00
2.174,-0.00,-0.01,0.01
2.175,0.01,0.01,0.00
2.176,-0.01,-0.01,0.00
2.178,0.03,0.01,0.01
2.200,-0.01,-0.00,0.01
2.202,-0.01,0.01,0.00
2.203,0.01,-0.01,0.01
2.204,0.01,0.00,0.00
2.206,0.01,-0.01,0.00
2.212,0.00,0.01,0.00
2.213,0.01,0.00,0.00
2.214,0.01,0.01,-0.01
2.230,0.01,-0.00,-0.00
2.232,0.00,0.01,0.00
2.234,0.00,-0.01,-0.01
2.235,0.01,0.00,-0.00
2.236,-0.00,0.01,0.00
2.240,-0.01,0.01,0.00
2.244,-0.01,0.01,0.00
2.263,-0.01,0.01,-0.01
2.265,0.01,-0.02,0.01
2.266,0.01,-0.01,-0.00
2.267,0.00,0.00,-0.01
2.268,-0.01,-0.00,-0.01
2.270,0.00,-0.00,-0.00
2.276,0.01,-0.00,-0.00
2.289,-0.00,-0.02,0.01
2.290,-0.01,0.01,-0.01
2.291,0.01,0.01,-0.00
2.293,-0.00,-0.02,0.00
2.314,0.00,0.02,-0.01
2.315,0.01,-0.00,-0.00
2.316,0.01,0.01,-0.00
2.317,0.00,-0.01,0.00
2.320,0.01,-0.00,0.01
2.322,0.00,-0.01,0.01
2.324,-0.01,0.00,-0.00
2.346,-0.01,0.00,0.01
2.350,0.00,0.00,0.01
2.351,-0.01,-0.01,-0.00
2.352,0.01,-0.01,0.00
2.353,0.00,0.01,-0.00
2.354,-0.00,-0.01,0.01
2.356,-0.00,-0.01,-0.01
2.373,-0.01,0.02,0.00
2.374,0.01,-0.01,-0.00
2.375,-0.01,0.00,0.00
2.377,0.00,0.01,0.00
2.382,-0.00,-0.02,-0.00
2.383,-0.00,0.01,-0.01
2.408,-0.00,0.00,-0.01
2.409,0.00,-0.00,0.00
2.410,-0.01,0.01,0.01
2.411,-0.00,0.00,0.00
2.412,-0.01,0.00,-0.00
2.413,-0.01,-0.00,0.01
2.415,0.00,0.01,0.01
2.416,0.01,-0.01,-0.00
2.432,0.01,-0.00,-0.00
2.433,-0.00,0.00,-0.00
2.434,-0.00,-0.01,-0.01
2.435,0.00,0.01,0.00
2.439,0.01,0.01,-0.00
2.443,0.01,-0.00,0.00
2.464,0.00,-0.00,0.01
2.468,-0.01,0.01,-0.02
2.469,0.00,-0.00,-0.00
2.470,-0.01,-0.01,0.00
2.472,-0.01,0.00,-0.01
2.490,0.00,0.01,-0.01
2.492,-0.00,0.00,0.01
2.493,0.02,0.00,-0.01
2.494,-0.01,-0.01,-0.00
2.499,-0.01,-0.01,-0.01
2.500,0.00,0.01,-0.01
2.501,0.03,0.01,0.02
2.506,-0.01,0.01,-0.00
2.507,0.00,0.03,-0.00
2.517,0.01,0.01,-0.01
